start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,serve_rating,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,round_num,nation,match_ID
2/14/2011,2/19/2011,MEX,Clay,,,2011,federico-xavier-ruiz-acevedo_paulo-eduardo-orozco-rodriguez,,daniel-khanin_richard-del-nunzio,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,0,7,12,0,0,,,,,,,,4,MEX,507
2/14/2011,2/19/2011,MEX,Clay,,,2011,federico-xavier-ruiz-acevedo_paulo-eduardo-orozco-rodriguez,,santiago-salazar_vitor-oliveira,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,2,12,5,0,0,,,,,,,,3,MEX,508
2/14/2011,2/19/2011,MEX,Clay,,,2011,fernando-gortazar-marin,,agustin-visokolskis,,jalisco-junior-cup-2011_itf_juniors0,3rd Round Qualifying,2,0,4,12,0,0,,,,,,,,1,MEX,509
2/14/2011,2/19/2011,MEX,Clay,,,2011,fernando-gortazar-marin,,cesar-dalí-vazquez-navarro,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,3,2,14,13,0,0,,,,,,,,0,MEX,510
2/14/2011,2/19/2011,MEX,Clay,,,2011,fernando-gortazar-marin,,luis-rodrigo-ortega,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,2,19,16,0,1,,,,,,,,-1,MEX,511
2/14/2011,2/19/2011,MEX,Clay,,,2011,fernando-gortazar-marin_rafael-belmar,,diego-pedraza_hyeon-chung,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,0,2,12,0,0,,,,,,,,3,MEX,512
2/14/2011,2/19/2011,MEX,Clay,,,2011,gabriel-alvarez-rodriguez,,ariel-ilarslan-russo,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,2,19,15,0,1,,,,,,,,-1,MEX,513
2/14/2011,2/19/2011,MEX,Clay,,,2011,gabriel-alvarez-rodriguez,,patricio-zarazua,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,0,4,12,0,0,,,,,,,,0,MEX,514
2/14/2011,2/19/2011,MEX,Clay,,,2011,gabriel-mendez-garay,,alejandro-alvarez,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,2,12,1,0,0,,,,,,,,-1,MEX,515
2/14/2011,2/19/2011,MEX,Clay,,,2011,gabriel-mendez-garay,,jorge-enrique-gonzalez-aramburu,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,0,6,12,0,0,,,,,,,,0,MEX,516
2/14/2011,2/19/2011,MEX,Clay,,,2011,gerardo-villalon,,luis-fernando-garcia,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,7,13,0,1,,,,,,,,2,MEX,517
2/14/2011,2/19/2011,MEX,Clay,,,2011,gerardo-villalon_luis-manuel-rodriguez,,mate-cutura_walner-espinoza,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,0,6,12,0,0,,,,,,,,3,MEX,518
2/14/2011,2/19/2011,MEX,Clay,,,2011,gustavo-gonzalez-casillas,,ivar-jose-aramburu-contreras,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,0,7,12,0,0,,,,,,,,0,MEX,519
2/14/2011,2/19/2011,MEX,Clay,,,2011,gustavo-gonzalez-casillas,,jose-miguel-hernandez,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,2,12,3,0,0,,,,,,,,-1,MEX,520
2/14/2011,2/19/2011,MEX,Clay,,,2011,hector-ramirez-rodriguez,,mate-cutura,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,6,12,0,0,,,,,,,,2,MEX,521
2/14/2011,2/19/2011,MEX,Clay,,,2011,hector-ramirez-rodriguez_ricardo-corona-batiz,,igal-mostkov_iznaur-akhmaev,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,1,8,7,0,0,,,,,,,,3,MEX,522
2/14/2011,2/19/2011,MEX,Clay,,,2011,hector-yamil-serur-de-la-torre,,everth-dzib-peraza,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,3,1,14,14,0,0,,,,,,,,3,MEX,523
2/14/2011,2/19/2011,MEX,Clay,,,2011,hector-yamil-serur-de-la-torre,,walner-espinoza,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,2,13,8,1,1,,,,,,,,2,MEX,524
2/14/2011,2/19/2011,MEX,Clay,,,2011,hector-yamil-serur-de-la-torre_jorge-alberto-escutia,,antonio-reynoso_behzad-kevin-minavi,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,0,3,12,0,0,,,,,,,,3,MEX,525
2/14/2011,2/19/2011,MEX,Clay,,,2011,henry-moore,,patricio-betancourt-gonzalez,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,2,12,0,0,,,,,,,,2,MEX,526
2/14/2011,2/19/2011,MEX,Clay,,,2011,hyeon-chung,,diego-orduno,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,2,12,3,0,0,,,,,,,,2,MEX,527
2/14/2011,2/19/2011,MEX,Clay,,,2011,hyeon-chung,,mate-cutura,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,0,7,13,0,1,,,,,,,,4,MEX,528
2/14/2011,2/19/2011,MEX,Clay,,,2011,hyeon-chung,,mauricio-fosado-lopez,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,2,12,7,0,0,,,,,,,,3,MEX,529
2/14/2011,2/19/2011,MEX,Clay,,,2011,igal-mostkov,,edgar-lopez,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,4,12,0,0,,,,,,,,2,MEX,530
2/14/2011,2/19/2011,MEX,Clay,,,2011,igal-mostkov_iznaur-akhmaev,,daniel-khanin_richard-del-nunzio,,jalisco-junior-cup-2011_itf_juniors0,Semi-Finals,2,0,10,13,0,1,,,,,,,,6,MEX,531
2/14/2011,2/19/2011,MEX,Clay,,,2011,igal-mostkov_iznaur-akhmaev,,hector-ramirez-rodriguez_ricardo-corona-batiz,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,1,7,8,0,0,,,,,,,,3,MEX,532
2/14/2011,2/19/2011,MEX,Clay,,,2011,igal-mostkov_iznaur-akhmaev,,luis-fernando-garcia_rogelio-siller,,jalisco-junior-cup-2011_itf_juniors0,Quarter-Finals,2,2,13,6,0,0,,,,,,,,5,MEX,533
2/14/2011,2/19/2011,MEX,Clay,,,2011,igal-mostkov_iznaur-akhmaev,,mate-cutura_walner-espinoza,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,1,10,8,0,0,,,,,,,,4,MEX,534
2/14/2011,2/19/2011,MEX,Clay,,,2011,ignacio-garrido-guzman,,rene-toral,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,0,8,13,0,0,,,,,,,,-1,MEX,535
2/14/2011,2/19/2011,MEX,Clay,,,2011,ignacio-plascencia-yanez,,pablo-landa-catan,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,2,16,15,0,0,,,,,,,,-1,MEX,536
2/14/2011,2/19/2011,MEX,Clay,,,2011,ignacio-plascencia-yanez,,santiago-salazar,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,3,1,11,17,0,0,,,,,,,,0,MEX,537
2/14/2011,2/19/2011,MEX,Clay,,,2011,ivar-jose-aramburu-contreras,,federico-bronzetti,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,2,12,3,0,0,,,,,,,,-1,MEX,538
2/14/2011,2/19/2011,MEX,Clay,,,2011,ivar-jose-aramburu-contreras,,gustavo-gonzalez-casillas,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,2,12,7,0,0,,,,,,,,0,MEX,539
2/14/2011,2/19/2011,MEX,Clay,,,2011,ivar-jose-aramburu-contreras,,jesus-omar-cordoba,,jalisco-junior-cup-2011_itf_juniors0,3rd Round Qualifying,3,2,19,14,1,2,,,,,,,,1,MEX,540
2/14/2011,2/19/2011,MEX,Clay,,,2011,ivar-jose-aramburu-contreras,,juan-pablo-murra,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,0,2,12,0,0,,,,,,,,3,MEX,541
2/14/2011,2/19/2011,MEX,Clay,,,2011,ivar-jose-aramburu-contreras,,rafa-orantes,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,2,12,7,0,0,,,,,,,,2,MEX,542
2/14/2011,2/19/2011,MEX,Clay,,,2011,iznaur-akhmaev,,javier-diez,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,2,12,0,0,0,,,,,,,,2,MEX,543
2/14/2011,2/19/2011,MEX,Clay,,,2011,iznaur-akhmaev,,richard-del-nunzio,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,3,1,13,18,1,1,,,,,,,,3,MEX,544
2/14/2011,2/19/2011,MEX,Clay,,,2011,jacob-rose,,mario-alberto-loyola-de-los-cobos,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,2,16,10,0,0,,,,,,,,-1,MEX,545
2/14/2011,2/19/2011,MEX,Clay,,,2011,jacob-rose,,rene-toral,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,0,0,12,0,0,,,,,,,,0,MEX,546
2/14/2011,2/19/2011,MEX,Clay,,,2011,javier-diez,,iznaur-akhmaev,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,0,12,0,0,,,,,,,,2,MEX,547
2/14/2011,2/19/2011,MEX,Clay,,,2011,jeff-guerrero,,federico-xavier-ruiz-acevedo,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,1,10,16,0,0,,,,,,,,-1,MEX,548
2/14/2011,2/19/2011,MEX,Clay,,,2011,jesus-omar-cordoba,,camilo-vela-montano,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,2,2,12,4,0,0,,,,,,,,0,MEX,549
2/14/2011,2/19/2011,MEX,Clay,,,2011,jesus-omar-cordoba,,esteban-razon,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,2,12,4,0,0,,,,,,,,-1,MEX,550
2/14/2011,2/19/2011,MEX,Clay,,,2011,jesus-omar-cordoba,,ivar-jose-aramburu-contreras,,jalisco-junior-cup-2011_itf_juniors0,3rd Round Qualifying,3,1,14,19,1,2,,,,,,,,1,MEX,551
2/14/2011,2/19/2011,MEX,Clay,,,2011,jesus-omar-cordoba_rafa-orantes,,jorge-andres-forseck-plauchu_mauricio-fosado-lopez,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,1,10,10,0,0,,,,,,,,3,MEX,552
2/14/2011,2/19/2011,MEX,Clay,,,2011,jesus-omar-cordoba_rafa-orantes,,lamar-remy_yifan-dang,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,1,8,7,0,0,,,,,,,,4,MEX,553
2/14/2011,2/19/2011,MEX,Clay,,,2011,joao-araujo,,everth-dzib-peraza,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,5,12,0,0,,,,,,,,2,MEX,554
2/14/2011,2/19/2011,MEX,Clay,,,2011,joao-araujo_pedro-wagner,,alan-nunez-aguilera_andres-alvarez-cerdan,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,1,10,8,0,0,,,,,,,,3,MEX,555
