name	code	region	sub_region	intermediate_region	Country_ID
Sao Tome and Principe	STP	Africa	Sub-Saharan Africa	Middle Africa	195
Saudi Arabia	SAU	Asia	Western Asia		196
Senegal	SEN	Africa	Sub-Saharan Africa	Western Africa	197
Serbia	SRB	Europe	Southern Europe		198
Seychelles	SYC	Africa	Sub-Saharan Africa	Eastern Africa	199
Sierra Leone	SLE	Africa	Sub-Saharan Africa	Western Africa	200
Singapore	SGP	Asia	South-eastern Asia		201
Sint Maarten (Dutch part)	SXM	Americas	Latin America and the Caribbean	Caribbean	202
Slovakia	SVK	Europe	Eastern Europe		203
Slovenia	SVN	Europe	Southern Europe		204
Solomon Islands	SLB	Oceania	Melanesia		205
Somalia	SOM	Africa	Sub-Saharan Africa	Eastern Africa	206
South Africa	ZAF	Africa	Sub-Saharan Africa	Southern Africa	207
South Georgia and the South Sandwich Islands	SGS	Americas	Latin America and the Caribbean	South America	208
South Sudan	SSD	Africa	Sub-Saharan Africa	Eastern Africa	209
Spain	ESP	Europe	Southern Europe		210
Sri Lanka	LKA	Asia	Southern Asia		211
Sudan	SDN	Africa	Northern Africa		212
Suriname	SUR	Americas	Latin America and the Caribbean	South America	213
Svalbard and Jan Mayen	SJM	Europe	Northern Europe		214
Sweden	SWE	Europe	Northern Europe		215
Switzerland	CHE	Europe	Western Europe		216
Syrian Arab Republic	SYR	Asia	Western Asia		217
"Taiwan, Province of China"	TWN	Asia	Eastern Asia		218
Tajikistan	TJK	Asia	Central Asia		219
"Tanzania, United Republic of"	TZA	Africa	Sub-Saharan Africa	Eastern Africa	220
Thailand	THA	Asia	South-eastern Asia		221
Timor-Leste	TLS	Asia	South-eastern Asia		222
Togo	TGO	Africa	Sub-Saharan Africa	Western Africa	223
Tokelau	TKL	Oceania	Polynesia		224
Tonga	TON	Oceania	Polynesia		225
Trinidad and Tobago	TTO	Americas	Latin America and the Caribbean	Caribbean	226
Tunisia	TUN	Africa	Northern Africa		227
Turkey	TUR	Asia	Western Asia		228
Turkmenistan	TKM	Asia	Central Asia		229
Turks and Caicos Islands	TCA	Americas	Latin America and the Caribbean	Caribbean	230
Tuvalu	TUV	Oceania	Polynesia		231
