year	tournament	start_date	end_date	location	court_surface	prize_money	currency	masters	tournament_id
2000	greece-f6-futures_itf_procircuit0	10/23/2000	10/29/2000	GRE	Hard			25	1057
1997	usa-2-masters_itf_procircuit0	5/16/1997	6/15/1997	USA	Clay			25	1058
1997	usa-2-masters_itf_procircuit1	5/16/1997	6/15/1997	USA	Clay			25	1059
1997	usa-2-masters_itf_procircuit2	5/16/1997	6/15/1997	USA	Clay			25	1060
1997	usa-2-masters_itf_procircuit3	5/16/1997	6/15/1997	USA	Clay			25	1061
2004	netherlands-f3-futures_itf_procircuit0	8/16/2004	8/22/2004	NED	Clay			25	1062
2011	uzbekistan-f1-futures_itf_procircuit0	5/23/2011	5/29/2011	UZB	Hard			25	1063
2008	thailand-f6-futures_itf_procircuit0	9/15/2008	9/21/2008	THA	Hard			25	1064
2004	spain-f19-futures_itf_procircuit0	8/16/2004	8/22/2004	ESP	Clay			25	1065
2005	germany-1-satellite_itf_procircuit3	10/3/2005	10/30/2005	Germany	Carpet			25	1066
2004	croatia-f4-futures_itf_procircuit0	8/16/2004	8/22/2004	CRO	Clay			25	1067
2011	bosnia-&-herzegovina-f4-futures_itf_procircuit0	5/23/2011	5/29/2011	BIH	Clay			25	1068
2018	nazmi-bari-cup-2018_itf_juniors0	5/14/2018	5/19/2018	TUR	Hard			0	1069
2018	nazmi-bari-cup-2018_itf_juniors1	5/14/2018	5/19/2018	TUR	Hard			0	1070
2018	chuck-e-cheese's-guam-itf-junior-championships_itf_juniors0	5/14/2018	5/19/2018	GUM	Hard			0	1071
2018	chuck-e-cheese's-guam-itf-junior-championships_itf_juniors1	5/14/2018	5/19/2018	GUM	Hard			0	1072
2001	usa-f28-futures_itf_procircuit0	11/26/2001	12/2/2001	USA	Hard			25	1073
2014	germany-f15-futures_itf_procircuit0	10/6/2014	10/12/2014	Germany	Hard			25	1074
2011	brazil-f15-futures_itf_procircuit0	5/23/2011	5/29/2011	BRA	Clay			25	1075
2006	germany-f5-futures_itf_procircuit0	1/30/2006	2/5/2006	Germany	Carpet			25	1076
2001	spain-f16-futures_itf_procircuit0	11/27/2001	12/2/2001	ESP	Clay			25	1077
1996	germany-2-masters_itf_procircuit3	5/18/1996	6/16/1996	Germany	Clay			25	1078
2008	bogota_challenger	9/22/2008	9/28/2008	Colombia	Clay	75000	$	100	1079
2008	lubbock_challenger	9/22/2008	9/28/2008	USA	Hard	50000	$	100	1080
2008	grenoble_challenger	9/22/2008	9/28/2008	France	Hard	42500	€	100	1081
2008	napoli_challenger	9/22/2008	9/28/2008	Italy	Clay	42500	€	100	1082
2011	copa-cariari_itf_juniors1	5/23/2011	5/28/2011	CRC	Hard			0	1083
2011	samara-cup_itf_juniors0	5/23/2011	5/29/2011	RUS	Hard			0	1084
2012	enka-gallipoli-cup_itf_juniors1	5/7/2012	5/12/2012	TUR	Hard			0	1085
2011	samara-cup_itf_juniors1	5/23/2011	5/29/2011	RUS	Hard			0	1086
2011	tennis-sweden-junior-cup_itf_juniors0	5/24/2011	5/29/2011	SWE	Clay			0	1087
2011	tennis-sweden-junior-cup_itf_juniors1	5/24/2011	5/29/2011	SWE	Clay			0	1088
2012	plantation-itf_itf_juniors0	5/7/2012	5/13/2012	USA	Clay			0	1089
2011	4th-europe-tennis-center-cup_itf_juniors0	5/24/2011	5/29/2011	HUN	Clay			0	1090
2011	4th-europe-tennis-center-cup_itf_juniors1	5/24/2011	5/29/2011	HUN	Clay			0	1091
2011	montenegro-open-2011_itf_juniors0	5/25/2011	5/29/2011	MNE	Clay			0	1092
2011	montenegro-open-2011_itf_juniors1	5/25/2011	5/29/2011	MNE	Clay			0	1093
2012	plantation-itf_itf_juniors1	5/7/2012	5/13/2012	USA	Clay			0	1094
2018	itf-junior-circuit-mozambique-leg-1_itf_juniors0	5/15/2018	5/19/2018	MOZ	Hard			0	1095
2013	greenmax-cup-inte'l-junior-championships-2013_itf_juniors0	10/15/2013	10/20/2013	TPE	Hard			0	1096
2012	panaceo-itf-junior-cup-2012_itf_juniors0	5/8/2012	5/12/2012	AUT	Clay			0	1097
2012	panaceo-itf-junior-cup-2012_itf_juniors1	5/8/2012	5/12/2012	AUT	Clay			0	1098
2018	itf-junior-circuit-mozambique-leg-1_itf_juniors1	5/15/2018	5/19/2018	MOZ	Hard			0	1099
2012	china-junior-7-beijing_itf_juniors0	5/8/2012	5/13/2012	CHN	Hard			0	1100
2004	indonesia-f3-futures_itf_procircuit0	8/16/2004	8/22/2004	INA	Hard			25	1101
2012	china-junior-7-beijing_itf_juniors1	5/8/2012	5/13/2012	CHN	Hard			0	1102
2015	atlanta-itf_itf_juniors0	10/26/2015	11/1/2015	USA	Hard			0	1103
2012	20th-international-junior-tournament-citta'-di-prato_itf_juniors0	5/8/2012	5/13/2012	ITA	Clay			0	1104
2012	20th-international-junior-tournament-citta'-di-prato_itf_juniors1	5/8/2012	5/13/2012	ITA	Clay			0	1105
2015	atlanta-itf_itf_juniors1	10/26/2015	11/1/2015	USA	Hard			0	1106
2012	delray-beach-itf_itf_juniors0	5/14/2012	5/19/2012	USA	Clay			0	1107
2015	dornbirn-open_itf_juniors0	10/26/2015	11/1/2015	AUT	Carpet			0	1108
1979	nagoya_challenger	4/30/1979		Japan	Hard	40000	$	100	1109
